Year,ROE,ROA,EPS,BPS
2018,1.26,0.7,0.58,17.28
2017,3.06,1.7,0.79,17.45
2016,1.73,1.07,0.68,17.74
2015,5.66,3.95,1.08,18.28
2014,5.25,3.77,0.97,17.66
2013,5.81,4.18,1.01,16.68
2012,2.03,1.5,0.49,16.02
2011,3.87,3.02,0.84,16.47
2010,10.9,8.92,1.91,17.53
2009,0.82,0.71,0.31,16.75
2008,-10.6,-8.91,-1.7,14.24
2007,6.24,5.05,1.03,18.9
2006,11.4,8.99,1.81,16.37
2005,2.01,1.5,0.38,13.7
2004,12.4,8.59,1.7,15.18
2003,6.24,4.11,0.84,14.38
2002,3.28,2.18,0.46,14.05
2001,-1.46,-1,-0.2,17.5
2000,31.5,22.2,4.57,20.74
1999,12,8.45,1.33,17.92
1998,6.12,4.4,0.7,13.81
